Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
WILLISTON SLOULIN INTL AP,Williston,ND,87.2,12/31/1896, 1894-01-01 to 2017-02-19,15,4/13/1986,16.5,03/20/1894,19.4,04/19/1896,9/24/1984
LINCOLN WWTP,Lincoln,NB,86.6,12/31/1881, 1881-02-01 to 2017-02-22,19,2/11/1965,25,03/28/1881,25,03/29/1881,10/23/2002
N PLATTE RGNL AP,North Platte,NB,67.7,12/31/2009, 1948-01-01 to 2017-06-06,11.9,1/1/1976,17.7,3/30/1949,19.3,3/29/1980,9/24/2000
GRAND ISLAND AP,Grand Island,NB,57.5,12/31/1983, 1895-10-01 to 2017-06-06,17.8,3/20/2006,20.7,3/20/2006,21.6,3/21/2006,9/29/1985
SCOTTSBLUFF HEILIG AP,Scottsbluff,NB,85.5,12/31/2009, 1893-01-01 to 2017-06-06,17.6,4/25/1935,28,1894-02-09,28,1894-02-10,9/12/1974
VALENTINE MILLER FLD,Valentine,NB,93.9,12/31/1929, 1889-07-01 to 2017-06-06,18.4,9/28/1985,26,3/12/1977,26.3,4/19/1920,9/27/1945
OMAHA EPPLEY AIRFIELD,Omaha,NB,64.5,12/31/1948, 1935-06-01 to 2017-06-06,18.3,2/11/1965,18.5,2/12/1965,19,2/11/1965,10/9/1970
NORFOLK KARL STEFAN AP,Norfolk,NB,63.8,12/31/1983, 1946-01-01 to 2017-06-06,19,2/18/1984,22.6,2/18/1984,22.6,2/19/1984,10/19/1982
CONCORD MUNI AP,Concord,NH,128.4,12/31/1956, 1939-04-02 to 2017-06-06,18.7,1/6/1944,24,2/9/2013,24,2/10/2013,10/22/1969
MT WASHINGTON,Mt. Washington,NH,495.2,12/31/1969, 1948-01-01 to 2017-06-07,49.3,2/25/1969,77.1,2/26/1969,91.1,2/27/1969,9/5/1994
ATLANTIC CITY,Atlantic City,NJ,35,12/31/1914, 1884-01-01 to 2017-06-03,18.4,12/26/2010,20,2/17/2003,21.5,2/17/2003,11/7/2012
NEWARK LIBERTY INTL AP,Newark,NJ,73.2,12/31/1907, 1893-01-01 to 2017-06-06,25.9,12/26/1947,27.8,1/8/1996,27.8,1/9/1996,10/29/2011
ROSWELL IND AIR PK,Roswell,NM,37.3,12/31/1997, 1946-12-01 to 2017-06-06,12.4,12/27/2015,16.9,2/5/1988,16.9,2/6/1988,10/28/1976
ALBUQUERQUE INTL AP,Albuquerque,NM,34.3,12/31/1973, 1931-01-01 to 2017-06-06,11.3,12/29/2006,16.3,12/30/2006,16.5,12/30/2006,10/12/1986
CLAYTON MUNI AIR PK,Clayton,NM,54.5,12/31/1918, 1896-02-01 to 2017-06-06,18.5,12/29/2006,24,12/30/2006,29.5,12/30/2006,9/25/1913
ELKO RGNL AP,Elko,NV,100.8,12/31/1996, 1888-04-01 to 2017-06-06,18.4,1/24/1996,22.5,1/24/1996,25.6,1/25/1996,9/30/1982
LAS VEGAS MCCARRAN AP,Las Vegas,NV,16.7,12/31/1949, 1948-09-06 to 2017-06-06,7.4,1/31/1979,9,1/5/1974,9.7,1/12/1949,11/15/1964
